ProgramKodu	Universite	Fakulte	Program	OgrenimSuresi	PuanTuru	GenelEkKontenjan	SehitGaziYakiniEkKontenjan	Kadin34EkKontenjan	DepremzedeEkKontentan	OzelKosulVeAciklamalar	GenelEnKucukPuan	SehitGaziEnKucukPuan	Kadin34EnKucukPuan	DepremzedeEnKucukPuan
106510105	ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)	Mühendislik Fakültesi	  Malzeme Bilimi ve Nanoteknoloji Mühendisliği (İngilizce)	4	SAY	1				22, 23, 24, 144	386.70083			
106510086	ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)	Yaşam ve Doğa Bilimleri Fakültesi	  Moleküler Biyoloji ve Genetik (İngilizce)	4	SAY			1		22, 23, 24			204.4112	
106510059	ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)	Yönetim Bilimleri Fakültesi	  İşletme (İngilizce)	4	EA	1				22, 23, 24	357.34521			
110410307	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilgisayar ve Bilişim Fakültesi	  Bilgi Güvenliği Teknolojisi	4	SAY	1				320	302.56426			
110410398	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilgisayar ve Bilişim Fakültesi	  Bilişim Sistemleri ve Teknolojileri (KKTC Uyruklu)	4	SAY	1				5, 320				
110410328	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Bilgisayar ve Bilişim Fakültesi	  Yapay Zeka Mühendisliği (İngilizce) (KKTC Uyruklu)	4	SAY	4				5, 22, 23, 24, 144, 320				
110410223	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Havacılık ve Uzay Bilimleri Fakültesi	  Havacılık ve Uzay Mühendisliği (İngilizce)	4	SAY	1				22, 23, 24, 144	384.54991			
110410229	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Havacılık ve Uzay Bilimleri Fakültesi	  Havacılık ve Uzay Mühendisliği (İngilizce) (KKTC Uyruklu)	4	SAY	3				5, 22, 23, 24, 144				
110410412	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Havacılık ve Uzay Bilimleri Fakültesi	  Havacılık Yönetimi	4	EA	3				10	322.92723			
110410419	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Havacılık ve Uzay Bilimleri Fakültesi	  İklim Bilimi ve Meteoroloji Mühendisliği (İngilizce)	4	SAY	1		1		22, 23, 24, 144	310.7577			
110410426	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi, İdari ve Sosyal Bilimler Fakültesi	  Gastronomi ve Mutfak Sanatları	4	SÖZ	2					337.09188			
110410433	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi, İdari ve Sosyal Bilimler Fakültesi	  İngilizce Mütercim ve Tercümanlık	4	DİL			1		22, 23, 24, 160				
110410440	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi, İdari ve Sosyal Bilimler Fakültesi	  İşletme (İngilizce)	4	EA	2				22, 23, 24	303.01964			
110410447	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi, İdari ve Sosyal Bilimler Fakültesi	  Psikoloji (İngilizce)	4	EA	1				22, 23, 24	350.15839			
110410454	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi, İdari ve Sosyal Bilimler Fakültesi	  Siyaset Bilimi ve Kamu Yönetimi (İngilizce)	4	EA	1				22, 23, 24	281.18552			
110410461	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi, İdari ve Sosyal Bilimler Fakültesi	  Turizm İşletmeciliği (İngilizce)	4	EA	2				22, 23, 24	269.38375			
110410468	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi, İdari ve Sosyal Bilimler Fakültesi	  Uluslararası İlişkiler (İngilizce)	4	EA	1				22, 23, 24	294.40168			
110410482	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi, İdari ve Sosyal Bilimler Fakültesi	  Yönetim Bilişim Sistemleri (İngilizce)	4	EA	2				22, 23, 24	343.24745			
110410019	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Mühendislik Fakültesi	  Elektrik-Elektronik Mühendisliği (İngilizce)	4	SAY	1				22, 23, 24, 144	381.42778			
110410225	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Mühendislik Fakültesi	  Enerji Sistemleri Mühendisliği (İngilizce)	4	SAY	1				22, 23, 24, 144	315.5394			
110410272	ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi)	Mühendislik Fakültesi	  Malzeme Bilimi ve Mühendisliği (İngilizce)	4	SAY	1			1	22, 23, 24, 144				
100210362	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Diş Hekimliği Fakültesi	  Diş Hekimliği	5	SAY	1				147	460.92132			
100210283	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Eğitim Fakültesi	  Arapça Öğretmenliği	4	DİL	4				1, 150	274.16046			
100210017	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Eğitim Fakültesi	  Fen Bilgisi Öğretmenliği	4	SAY	10			1	1, 150				
100210105	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Eğitim Fakültesi	  Rehberlik ve Psikolojik Danışmanlık	4	EA	1				150	332.80964			
100210044	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Eğitim Fakültesi	  Sosyal Bilgiler Öğretmenliği	4	SÖZ	2				1, 150	317.75911			
100210114	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Eğitim Fakültesi	  Türkçe Öğretmenliği	4	SÖZ	2				1, 150	351.09181			
100210317	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Arkeoloji	4	EA	3					224.6278			
100210177	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Biyoloji	4	SAY	3					248.08733			
100290057	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  İngiliz Dili ve Edebiyatı (İngilizce)	4	DİL	1		1		22, 23, 24	344.76588		193.08208	
100210053	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Matematik	4	SAY	2					274.26927			
100290186	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Psikoloji	4	EA	1					336.38337			
100210132	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Sanat Tarihi	4	SÖZ	3					237.50329			
100210141	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Sosyoloji	4	EA	3					242.18469			
100210186	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Tarih	4	SÖZ	6					270.27901			
100210062	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Türk Dili ve Edebiyatı	4	SÖZ	4					271.82945			
100210195	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi ve İdari Bilimler Fakültesi	  İktisat	4	EA	1		1			234.75357		220.83189	
100210202	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi ve İdari Bilimler Fakültesi	  İşletme	4	EA	1			2		250.1532			249.25917
100290058	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi ve İdari Bilimler Fakültesi	  İşletme (Besni)	4	EA	8					226.73913			
100290086	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	İktisadi ve İdari Bilimler Fakültesi	  Siyaset Bilimi ve Kamu Yönetimi	4	EA	7					238.9165			
100290193	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	İlahiyat Fakültesi	  İlahiyat	4	SÖZ	9				1, 22, 24, 152	246.41932			
100290200	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	İlahiyat Fakültesi	  İlahiyat (M.T.O.K.)	4	SÖZ	1				1, 22, 24, 152, 153	237.02734			
100290095	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Mühendislik Fakültesi	  Bilgisayar Mühendisliği	4	SAY	3				144	314.26938			
100290060	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Mühendislik Fakültesi	  Tekstil Mühendisliği (Besni)	4	SAY	9			1	144, 154				
100290179	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Turizm Fakültesi	  Gastronomi ve Mutfak Sanatları	4	SÖZ	4					317.50788			
100290059	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Turizm Fakültesi	  Turizm Rehberliği	4	DİL	2		2			261.67093			
100290207	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Ziraat Fakültesi (Kahta)	  Bahçe Bitkileri	4	SAY	3					239.6493			
100290088	ADIYAMAN ÜNİVERSİTESİ (Devlet Üniversitesi)	Ziraat Fakültesi (Kahta)	  Bitki Koruma	4	SAY			1					217.56391	
100490215	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Bolvadin Uygulamalı Bilimler Fakültesi	  Bankacılık ve Sigortacılık	4	EA	3		1			247.99558			
100490216	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Bolvadin Uygulamalı Bilimler Fakültesi	  Lojistik Yönetimi	4	EA	4		2			249.631			
100490218	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Bolvadin Uygulamalı Bilimler Fakültesi	  Muhasebe ve Finans Yönetimi	4	EA	1		1			249.46796			
100490202	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Dinar Uygulamalı Bilimler Yüksekokulu	  Endüstriyel Tasarım	4	SAY	2		1		1	264.77764			
100490203	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Dinar Uygulamalı Bilimler Yüksekokulu	  Sigortacılık	4	EA	1				1	231.89807			
100410687	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Eğitim Fakültesi	  Fen Bilgisi Öğretmenliği	4	SAY	10				1, 150				
100410678	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Eğitim Fakültesi	  İlköğretim Matematik Öğretmenliği	4	SAY	1				1, 150	306.96559			
100490219	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Eğitim Fakültesi	  İngilizce Öğretmenliği (İngilizce)	4	DİL	1				1, 22, 23, 24, 150	412.38207			
100410015	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Eğitim Fakültesi	  Okul Öncesi Öğretmenliği	4	SÖZ	4				1, 150	377.75998			
100490256	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Eğitim Fakültesi	  Özel Eğitim Öğretmenliği	4	SÖZ	2				1, 150	402.21997			
100490249	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Eğitim Fakültesi	  Rehberlik ve Psikolojik Danışmanlık	4	EA	1				150	346.61156			
100410033	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Eğitim Fakültesi	  Sosyal Bilgiler Öğretmenliği	4	SÖZ	2				1, 150	308.4492			
100410042	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Eğitim Fakültesi	  Türkçe Öğretmenliği	4	SÖZ	3				1, 150	324.26415			
100410078	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Çağdaş Türk Lehçeleri ve Edebiyatları	4	SÖZ	7		1			237.4324		207.85234	
100410924	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Felsefe	4	EA	3					232.63881			
100490277	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  İngilizce Mütercim ve Tercümanlık	4	DİL			1		22, 23, 24				
100410103	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Kimya	4	SAY			1						
100410112	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Matematik	4	SAY	1		2			288.87586			
100410809	AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi)	Fen-Edebiyat Fakültesi	  Moleküler Biyoloji ve Genetik	4	SAY	4					293.09981			
